"","ID","Date","Block","Primary.Type","Description","X.Coordinate","Y.Coordinate","Year","Latitude","Longitude","Location"
"147758",9174829,"06/14/2013 06:20:00 PM","034XX S DR MARTIN LUTHER KING JR DR","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1179342,1882101,2013,41.8317725076712,-87.6174737042199,"(41.831772507671225, -87.61747370421988)"
"147771",9182696,"06/14/2013 06:00:00 PM","031XX W 63RD ST","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1156612,1862731,2013,41.7791081295698,-87.7013952240759,"(41.77910812956977, -87.70139522407588)"
"147773",9174669,"06/14/2013 06:00:00 PM","035XX W 64TH PL","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1153774,1861570,2013,41.7759789279068,-87.7118304703731,"(41.775978927906834, -87.71183047037307)"
"147779",9178135,"06/14/2013 06:00:00 PM","031XX W 63RD ST","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1156612,1862731,2013,41.7791081295698,-87.7013952240759,"(41.77910812956977, -87.70139522407588)"
"147785",9181321,"06/14/2013 06:00:00 PM","114XX S SPAULDING AVE","OFFENSE INVOLVING CHILDREN","CONTRIBUTE CRIM DELINQUENCY JUVENILE",1156373,1828648,2013,41.6855833962013,-87.7031862357628,"(41.68558339620133, -87.70318623576279)"
"147788",9174645,"06/14/2013 06:00:00 PM","026XX W 25TH ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1159159,1887349,2013,41.8466112727779,-87.6913834139749,"(41.846611272777885, -87.69138341397492)"
"147839",9176789,"06/14/2013 05:00:00 PM","099XX S EWING AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1202097,1839917,2013,41.7154668244544,-87.5354211903341,"(41.71546682445435, -87.53542119033409)"
"147934",9175111,"06/14/2013 03:00:00 PM","049XX S BLACKSTONE AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1186807,1872202,2013,41.8044350455342,-87.5903982636956,"(41.804435045534184, -87.59039826369562)"
"147943",9174910,"06/14/2013 03:00:00 PM","031XX W EASTWOOD AVE","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1154622,1930636,2013,41.965486523907,-87.7068739243986,"(41.965486523906954, -87.70687392439861)"
"147973",9175730,"06/14/2013 02:30:00 PM","031XX W HARRISON ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1155268,1897149,2013,41.8735824797659,-87.7054002572094,"(41.87358247976587, -87.70540025720936)"
"148228",9174888,"06/14/2013 09:00:00 AM","069XX S PULASKI RD","OFFENSE INVOLVING CHILDREN","CHILD ABDUCTION",1150943,1858021,2013,41.7662955734892,-87.7223012414714,"(41.76629557348916, -87.72230124147138)"
"148536",9173682,"06/13/2013 10:00:00 PM","035XX W 76TH ST","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1153828,1853934,2013,41.7550234591411,-87.7118347717604,"(41.75502345914113, -87.71183477176041)"
"148596",9173265,"06/13/2013 09:00:00 PM","118XX S NORMAL AVE","OFFENSE INVOLVING CHILDREN","CHILD ABDUCTION",1175141,1826259,2013,41.678630351924,-87.6345516768846,"(41.67863035192399, -87.63455167688461)"
"148681",9173129,"06/13/2013 07:15:00 PM","019XX S PULASKI RD","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1149979,1890322,2013,41.8549529182395,-87.7249966151593,"(41.85495291823947, -87.72499661515927)"
"148701",9172946,"06/13/2013 07:00:00 PM","042XX N KIMBALL AVE","OFFENSE INVOLVING CHILDREN","CHILD ABDUCTION",1153007,1927786,2013,41.957698185863,-87.7128878315211,"(41.957698185863, -87.71288783152114)"
"148745",9177245,"06/13/2013 06:00:00 PM","080XX S INGLESIDE AVE","OFFENSE INVOLVING CHILDREN","SEX ASSLT OF CHILD BY FAM MBR",1183997,1851963,2013,41.748963582155,-87.6013357355446,"(41.748963582154985, -87.60133573554458)"
"148748",9174511,"06/13/2013 06:00:00 PM","033XX W 60TH PL","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1154979,1864263,2013,41.7833449412174,-87.707341127419,"(41.78334494121736, -87.707341127419)"
"148784",9179949,"06/13/2013 05:20:00 PM","003XX N PINE AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1139479,1901774,2013,41.8865764125484,-87.7632576048476,"(41.88657641254842, -87.76325760484762)"
"148906",9175529,"06/13/2013 03:00:00 PM","021XX W DEVON AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1160694,1942506,2013,41.9979342929494,-87.6842177396614,"(41.997934292949374, -87.68421773966138)"
"148978",9172685,"06/13/2013 01:10:00 PM","063XX N WESTERN AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1159119,1942279,2013,41.9973440133845,-87.6900178884663,"(41.99734401338448, -87.69001788846626)"
"149081",9172809,"06/13/2013 11:07:00 AM","107XX S SANGAMON ST","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1171857,1833413,2013,41.6983345319261,-87.6463635262436,"(41.69833453192614, -87.64636352624358)"
"149278",9171353,"06/13/2013 04:52:52 AM","034XX W NORTH AVE","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1152760,1910450,2013,41.9101317293222,-87.7142561044843,"(41.91013172932218, -87.71425610448426)"
"149416",9173007,"06/12/2013 10:00:00 PM","011XX E 83RD ST","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1185227,1850229,2013,41.7441765049941,-87.5968829882644,"(41.744176504994115, -87.59688298826441)"
"149513",9173340,"06/12/2013 07:00:00 PM","008XX W 68TH ST","OFFENSE INVOLVING CHILDREN","CHILD ABUSE",1171885,1859722,2013,41.77052943832,-87.6454911390362,"(41.770529438320004, -87.64549113903615)"
"149743",9172922,"06/12/2013 02:40:00 PM","031XX W HARRISON ST","OFFENSE INVOLVING CHILDREN","OTHER OFFENSE",1155268,1897149,2013,41.8735824797659,-87.7054002572094,"(41.87358247976587, -87.70540025720936)"
"149754",9172839,"06/12/2013 02:25:00 PM","074XX S MORGAN ST","OFFENSE INVOLVING CHILDREN","CHILD ABDUCTION",1170892,1855488,2013,41.7589325476815,-87.6492545100604,"(41.75893254768148, -87.64925451006039)"
"149863",9170747,"06/12/2013 12:00:00 PM","035XX S LAKE PARK AVE","OFFENSE INVOLVING CHILDREN","CHILD ABANDONMENT",1181837,1881854,2013,41.8310373040254,-87.6083270424523,"(41.83103730402535, -87.60832704245227)"
"149975",9333601,"06/12/2013 09:54:00 AM","012XX S DAMEN AVE","OFFENSE INVOLVING CHILDREN","CHILD PORNOGRAPHY",1163201,1894244,2013,41.865447950794,-87.6763558061365,"(41.86544795079404, -87.67635580613653)"
"150005",9170222,"06/12/2013 09:00:00 AM","057XX W MADISON ST","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE/HEALTH CHILD",1138127,1899398,2013,41.8800808977969,-87.7682800170399,"(41.880080897796915, -87.76828001703987)"
"150171",9216922,"06/12/2013 12:01:00 AM","016XX N KEDVALE AVE","OFFENSE INVOLVING CHILDREN","CHILD PORNOGRAPHY",1148428,1910597,2013,41.9106198076201,-87.7301664793388,"(41.910619807620115, -87.73016647933882)"
